Product,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51
Braun Razors,23627,14103,13606,15768,11925,13575,23586,24142,20224,37836,27534,24164,20095,19939,25115,17118,27614,37796,28058,22770,21564,17936,13364,20153,19890,16082
Gillette Venus Swirl,12436,17169,16564,11523,16562,21870,26956,27856,24269,22071,26475,26952,27498,24686,33151,23538,23195,32546,32375,37950,30002,21523,17540,26354,19890,16082
Gillette Shaving Cream,13057,17169,14789,17587,19212,18100,16005,13928,21236,14714,30711,19517,31728,25635,16074,41726,28718,16798,24821,28192,18752,14349,28399,18603,14208,12866
Pantene,48604,32375,26772,26490,28818,33534,24624,38468,52157,44916,31213,40149,39660,41472,39891,34450,29690,19276,21756,18377,30684,39132,29067,16536,28642,29774
Head & Shoulders,26860,32375,25656,26490,27824,20815,32832,34489,29804,55758,40577,43494,30142,33497,38357,23966,26509,40819,26936,21439,28230,19566,16037,26871,33416,24812
Herbal Essences,26860,26594,31234,19358,24843,33534,37522,39795,35765,32526,39016,48513,41246,41472,50631,32953,22268,35150,31080,35732,39276,23479,21048,35139,33416,24812
Aussie,25581,24282,27887,29546,17887,27753,22279,19898,31294,21684,45259,35130,47592,43067,24549,58416,27569,18142,23828,26544,24548,15653,34078,24804,23868,19849
Mr. Clean Magic Erasers,41569,34688,42591,28018,37140,23127,41772,33560,26345,39952,23187,44470,33555,40674,34850,38997,29160,33504,32193,29276,23525,27417,41783,39414,31967,26948
Swiffers,46765,34688,22817,32020,28569,34691,36011,42315,39517,42911,34780,29136,29179,33411,29042,24554,32076,30591,30730,42450,38227,36075,33139,33575,34630,47555
Cascade Pods,41569,29958,30423,28018,31426,36136,24487,26265,29272,23675,36229,32203,21884,29053,36302,31776,26244,24764,36583,33668,35287,30303,28816,21897,18647,15852
Dawn Dish Soap,29445,23651,27380,20013,22856,26018,27368,21887,23418,26635,26085,26069,23343,27601,23233,21665,26244,24764,24877,26349,26465,28860,25935,29196,21311,28533
Febreze Air Freshener,13857,34688,28901,25350,22856,24573,14405,21887,27808,14797,24636,21469,37932,14527,21781,27443,32076,32048,21950,14638,23525,21645,14408,21897,26639,39630
Oral B Toothbrushes,38371,39418,27380,42791,34283,41176,39801,46799,28500,45702,44345,33457,44192,34180,47409,47471,47239,51969,48484,33029,50721,33751,31572,46879,42803,47307
Crest Mouthwash,30377,39418,44112,30565,34283,23756,35025,33428,25147,35546,32406,45167,28895,41016,42329,37649,45489,34646,32323,47892,26235,32064,37586,27780,49388,41849
Crest Toothpaste,31976,44148,66929,25980,70056,50678,76418,26742,78794,77862,25584,68587,40793,59815,45716,68751,27993,48504,72726,77619,57717,27001,36083,74658,52681,69141
Crest Whitestrips,59156,34688,13690,53488,10434,42760,7961,60169,35206,10156,68222,20075,56090,35889,33864,9822,54237,38111,8081,6606,40227,75940,45103,24308,19756,23654
DayQuil,91313,102096,104989,88349,91206,62642,99457,95651,63507,41096,51566,36483,34804,38061,45698,36119,42560,41845,37296,22295,27678,37464,45388,77448,103914,125715
MetaMucil,24156,29296,30221,49112,41288,46290,1626,3394,7456,23440,4172,19279,12410,9412,879,10243,3389,4525,10188,21911,20053,35908,29784,8676,11520,12126
Olay Moisturizer,77941,84616,86957,64647,71050,75163,78844,68977,85686,85186,93638,109292,97591,78828,76850,73554,58319,60368,49209,61930,79778,58697,69346,97663,102558,64841
Secret Deodorant,34641,55185,37267,42573,30681,29412,27924,34489,18628,23233,54622,29275,38668,32685,27124,32097,23858,23623,36260,26148,33753,26903,49050,30746,29835,41683
Old Spice Deodorant,25981,33111,33718,22075,41984,44117,44350,27591,46569,23233,27311,46840,27620,48066,22603,24073,23858,36746,37555,38534,26082,13452,27062,28938,33565,30877
SK-II Facial Treatments,34641,11037,19521,28382,17763,14706,13141,41386,35392,61954,19508,9759,20255,32685,24110,4013,26509,10499,6475,11010,13808,23235,23679,23512,20512,16982
